Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
5916;Tempe Terra;1954.94;38.69;289.39;54.08;25.78;309.16;267.06;Planetocentric  +East  0 - 360;Greek;Terra;TA;mc03;
6963;Tenuis Cavus;51.53;84.76;1.39;85.08;84.38;3.96;357.4;Planetocentric  +East  0 - 360;Roman;Cavus;CB;mc01;
14160;Tenuis Mensa;120.92;81.13;267.04;81.57;80.61;273.4;260.78;Planetocentric  +East  0 - 360;Roman;Mensa;MN;mc01;
5922;Tepko;3.98;15.21;103.51;15.24;15.18;103.55;103.48;Planetocentric  +East  0 - 360;Australia;Crater;AA;mc14;
5924;Terby;171.5;-27.96;74.14;-26.52;-29.41;75.78;72.5;Planetocentric  +East  0 - 360;Belgium;Crater;AA;mc21;
5928;Termes Vallis;55.6;-11.11;202.99;-10.7;-11.47;203.11;202.84;Planetocentric  +East  0 - 360;Spain;Vallis;VA;mc16;
5930;Terra Cimmeria;5855.87;-32.68;147.75;12.13;-73.54;179.66;98.79;Planetocentric  +East  0 - 360;Greek;Terra;TA;mc29;
5931;Terra Sabaea;4688.44;2.72;51.3;42.16;-36.85;82;9.16;Planetocentric  +East  0 - 360;Latin;Terra;TA;mc13;
5932;Terra Sirenum;3635.18;-39.49;205.85;-11.4;-67.57;249.68;180.07;Planetocentric  +East  0 - 360;Greek;Terra;TA;mc24;
5942;Teviot Vallis;143.89;-43.37;102.26;-42.1;-43.89;102.35;100.94;Planetocentric  +East  0 - 360;Scotland;Vallis;VA;mc28;
5947;Tharsis;0;0;260;0;0;260;260;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;;
5948;Tharsis Montes;2058.91;1.57;247.42;15.71;-11.62;258.98;236.36;Planetocentric  +East  0 - 360;Latin;Mons;MO;mc09;
5949;Tharsis Tholus;149.3;13.25;269.31;14.48;12.02;270.3;268.1;Planetocentric  +East  0 - 360;Latin;Tholus;TH;mc09;
5952;Thaumasia;0;-34.68;275;-34.68;-34.68;275;275;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc25;
5953;Thaumasia Fossae;996.18;-47.75;268.95;-40.66;-56.44;280.6;256.05;Planetocentric  +East  0 - 360;Greek;Fossa;FO;mc25;
5954;Thaumasia Planum;799.6;-21.66;294.78;-14.97;-28.47;299.89;290.03;Planetocentric  +East  0 - 360;Greek;Planum;PM;mc18;
5968;Thermia;2.76;19.67;109.17;19.69;19.64;109.2;109.15;Planetocentric  +East  0 - 360;Greek;Crater;AA;mc14;
14440;Thila;5.37;18.11;155.52;18.16;18.06;155.57;155.48;Planetocentric  +East  0 - 360;Yemen;Crater;AA;mc15;
5973;Thira;21.84;-14.47;175.98;-14.29;-14.66;176.17;175.79;Planetocentric  +East  0 - 360;Greek;Crater;AA;mc23;
5974;Thom;22.06;-41.11;92.35;-40.92;-41.3;92.6;92.1;Planetocentric  +East  0 - 360;Thailand;Crater;AA;mc28;
5982;Thoth;0;29.71;105;29.71;29.71;105;105;Planetocentric  +East  0 - 360;Egypt;Albedo Feature;AL;mc14;
5985;Thule;13.07;-23.37;334.28;-23.26;-23.48;334.4;334.16;Planetocentric  +East  0 - 360;Greenland;Crater;AA;mc19;
14179;Thyles Montes;380;-69.88;126.54;-67.49;-73.08;136.05;119.17;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc30;
5987;Thyles Rupes;548.75;-69.32;132.28;-64.56;-73.27;141.51;123.98;Planetocentric  +East  0 - 360;Greek;Rupes;RU;mc30;
5988;Thymiamata;0;9.88;350;9.88;9.88;350;350;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc11;
5992;Tibrikot;59.08;12.56;305.13;13.06;12.06;305.64;304.61;Planetocentric  +East  0 - 360;Nepal;Crater;AA;mc10;
5998;Tignish;20.98;-30.74;87.04;-30.56;-30.91;87.25;86.84;Planetocentric  +East  0 - 360;Canada;Crater;AA;mc28;
14792;Tigre Valles;102.82;-12.02;322.91;-11.28;-12.71;323.78;322.03;Planetocentric  +East  0 - 360;Peru;Vallis;VA;mc19;
6001;Tikhonravov;343.7;13.28;35.93;16.18;10.38;38.91;32.95;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc12;
6003;Tikhov;110.07;-50.68;105.8;-49.75;-51.61;107.27;104.33;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc28;
6005;Tile;8.47;17.73;331.38;17.8;17.65;331.45;331.3;Planetocentric  +East  0 - 360;Somalia;Crater;AA;mc11;
6009;Timaru;18.4;-25.27;337.66;-25.11;-25.42;337.83;337.49;Planetocentric  +East  0 - 360;New Zealand;Crater;AA;mc19;
6010;Timbuktu;65.68;-5.56;322.48;-5.01;-6.11;323.04;321.92;Planetocentric  +East  0 - 360;Mali;Crater;AA;mc19;
6013;Timoshenko;86.11;41.76;296;42.49;41.04;296.98;295.03;Planetocentric  +East  0 - 360;Soviet;Crater;AA;mc03;
