full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index;state_index
Uranus XI (Juliet);juliet;juliet;53;106;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;6;Juliet;Джульетта;115;7
Uranus XII (Portia);portia;portia;70;140;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;7;Portia;Порция;116;7
Uranus XIII (Rosalind);rosalind;rosalind;36;72;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;8;Rosalind;Розалинда;117;7
Uranus XXVII (Cupid);cupid;cupid;9;18;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;9;Cupid;Купидон;118;7
Uranus XIV (Belinda);belinda;belinda;45;90;2000-01-01-00-00-00;1980-01-01-00-00-00;Uranus;10;Belinda;Белинда;119;7
Uranus XXV (Perdita);perdita;perdita;13;26;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;11;Perdita;Пердита;120;7
Uranus XV (Puck);puck;puck;81;162;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;12;Puck;Пак;121;7
Uranus XXVI (Mab);mab;mab;12;24;2000-01-01-00-00-00;1986-01-01-00-00-00;Uranus;13;Mab;Маб;122;7
Uranus V (Miranda);miranda;miranda;235.8;471.6;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;14;Miranda;Миранда;123;7
Uranus I (Ariel);ariel;ariel;578.9;1157.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;15;Ariel;Ариэль;124;7
Uranus II (Umbriel);umbriel;umbriel;584.7;1169.4;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;16;Umbriel;Умбриэль;125;7
Uranus III (Titania);titania;titania;788.9;1577.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;17;Titania;Титания;126;7
Uranus IV (Oberon);oberon;oberon;761.4;1522.8;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;18;Oberon;Оберон;127;7
Uranus XXII (Francisco);francisco;francisco;11;22;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;19;Francisco;Франциско;128;7
Uranus XVI (Caliban);caliban;caliban;36;72;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;20;Caliban;Калибан;129;7
Uranus XX (Stephano);stephano;stephano;16;32;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;21;Stephano;Стефано;130;7
Uranus XXI (Trinculo);trinculo;trinculo;9;18;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;22;Trinculo;Тринкуло;131;7
Uranus XVII (Sycorax);sycorax;sycorax;75;150;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;23;Sycorax;Сикоракса;132;7
Uranus XXIII (Margaret);margaret;margaret;10;20;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;24;Margaret;Маргарет;133;7
Uranus XVIII (Prospero);prospero;prospero;25;50;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;25;Prospero;Просперо;134;7
Uranus XIX (Setebos);setebos;setebos;24;48;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;26;Setebos;Сетебос;135;7
Uranus XXIV (Ferdinand);ferdinand;ferdinand;10;20;2000-01-01-00-00-00;1916-04-02-00-00-32;Uranus;27;Ferdinand;Фердинанд;136;7
Neptune III (Naiad);naiad;naiad;33;66;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;1;Naiad;Наяда;137;8
Neptune IV (Thalassa);thalassa;thalassa;41;82;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;2;Thalassa;Таласса;138;8
Neptune V (Despina);despina;despina;75;150;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;3;Despina;Деспина;139;8
Neptune VI (Galatea);galatea;galatea;88;176;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;4;Galatea;Галатея;140;8
Neptune VII (Larissa);larissa;larissa;97;194;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;5;Larissa;Ларисса;141;8
2004n1;2004n1;2004n1;9;18;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;6;2004n1;2004n1;142;8
Neptune VIII (Proteus);proteus;proteus;210;420;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;7;Proteus;Протеус;143;8
Neptune I (Triton);triton;triton;1353.4;2706.8;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;8;Triton;Тритон;144;8
Neptune II (Nereid);nereid;nereid;170;340;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;9;Nereid;Нереида;145;8
Neptune IX (Halimede);halimede;halimede;31;62;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;10;Halimede;Галимеда;146;8
Neptune XI (Sao);sao;sao;22;44;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;11;Sao;Сао;147;8
Neptune XII (Laomedeia);laomedeia;laomedeia;21;42;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;12;Laomedeia;Лаомедея;148;8
Neptune X (Psamathe);psamathe;psamathe;20;40;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;13;Psamathe;Псамафа;149;8
Neptune XIII (Neso);neso;neso;30;60;2000-01-01-00-00-00;1950-01-01-00-00-00;Neptune;14;Neso;Несо;150;8
