Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
8496;Curtius K;6.58;-69.15;9.68;-69.04;-69.26;9.99;9.38;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8497;Curtius L;7.7;-68.35;9.47;-68.22;-68.48;9.82;9.13;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
8498;Curtius M;5.12;-65.58;8.43;-65.49;-65.66;8.64;8.23;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-137;
1354;Cusanus;60.87;71.82;69.4;72.82;70.82;72.62;66.18;Planetocentric  +East  0 - 360;Europe;Germany;"Crater; craters";AA;LAC-5;
8499;Cusanus A;16.81;70.58;63.96;70.86;70.3;64.79;63.12;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
8500;Cusanus B;21.13;70.09;65.04;70.44;69.74;66.06;64.01;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
8501;Cusanus C;23.45;70.49;61.31;70.88;70.11;62.47;60.16;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
8502;Cusanus E;10.25;71.73;73.12;71.9;71.56;73.65;72.58;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
8503;Cusanus F;12.01;70.59;73.65;70.79;70.39;74.24;73.05;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
8504;Cusanus G;10.57;69.93;77.01;70.1;69.75;77.51;76.5;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
8505;Cusanus H;8.3;69.43;59.59;69.57;69.29;59.98;59.2;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-5;
1356;Cuvier;77.3;-50.29;9.69;-49.02;-51.57;11.69;7.7;Planetocentric  +East  0 - 360;Europe;France;"Crater; craters";AA;LAC-126;
8506;Cuvier A;17.86;-52.48;11.91;-52.19;-52.78;12.39;11.42;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8507;Cuvier B;15.76;-51.71;13.8;-51.45;-51.97;14.22;13.38;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8508;Cuvier C;8.52;-50;11.74;-49.86;-50.14;11.96;11.52;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8509;Cuvier D;16.32;-51.41;7.75;-51.14;-51.68;8.18;7.32;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-126;
8510;Cuvier E;18.72;-52.4;12.88;-52.09;-52.71;13.38;12.37;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8511;Cuvier F;15.13;-52.29;11.17;-52.04;-52.54;11.58;10.76;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8512;Cuvier G;7.54;-50.84;7.47;-50.71;-50.96;7.67;7.27;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-126;
8513;Cuvier H;10.31;-48.69;8.43;-48.52;-48.86;8.69;8.18;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-126;
8514;Cuvier J;5.17;-49.28;8.74;-49.19;-49.36;8.87;8.61;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-126;
8515;Cuvier K;7.07;-52.28;10.02;-52.16;-52.4;10.22;9.83;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8516;Cuvier L;12.61;-48.92;9.76;-48.71;-49.13;10.08;9.45;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-126;
8517;Cuvier M;5.71;-53.42;10.85;-53.32;-53.51;11.01;10.69;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8518;Cuvier N;4.09;-53.53;12.07;-53.46;-53.59;12.18;11.95;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8519;Cuvier O;10.67;-51.78;12.05;-51.6;-51.95;12.33;11.77;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8520;Cuvier P;10.78;-50.12;12.66;-49.96;-50.29;12.9;12.41;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8521;Cuvier Q;12.66;-51.64;10.53;-51.44;-51.85;10.87;10.19;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
8522;Cuvier R;6.33;-51.13;13.15;-51.02;-51.23;13.32;12.98;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-127;
1371;Cyrano;79.58;-20.37;157.37;-19.05;-21.68;158.77;155.97;Planetocentric  +East  0 - 360;Europe;France;"Crater; craters";AA;LAC-103;
8523;Cyrano A;23.92;-18.01;158.45;-17.61;-18.4;158.86;158.03;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-103;
8524;Cyrano B;22.18;-18.15;159.44;-17.79;-18.52;159.83;159.06;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-103;
8525;Cyrano D;24.56;-19.42;162.5;-19.01;-19.82;162.93;162.07;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-103;
8526;Cyrano E;19.66;-20.07;161.42;-19.74;-20.39;161.76;161.07;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-103;
8527;Cyrano P;18.95;-21.36;156.6;-21.05;-21.68;156.93;156.26;Planetocentric  +East  0 - 360;Europe;France;Satellite Feature;SF;LAC-103;
1372;Cyrillus;98.09;-13.29;24.07;-11.67;-14.91;25.73;22.4;Planetocentric  +East  0 - 360;Africa;Egypt;"Crater; craters";AA;LAC-78;
8528;Cyrillus A;13.69;-13.77;23.12;-13.54;-14;23.35;22.89;Planetocentric  +East  0 - 360;Africa;Egypt;Satellite Feature;SF;LAC-78;
8529;Cyrillus C;11.75;-12.36;21.5;-12.17;-12.56;21.7;21.31;Planetocentric  +East  0 - 360;Africa;Egypt;Satellite Feature;SF;LAC-78;
8530;Cyrillus E;10.46;-15.9;25.31;-15.73;-16.07;25.49;25.13;Planetocentric  +East  0 - 360;Africa;Egypt;Satellite Feature;SF;LAC-78;
