id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000195;2000195;195Eurykleia;195;Eurykleia;93.109;2.752297126;1783.205909;MBA;DES=+2000195;1998-10-12-04-45-53;2000-01-01-00-00-00;;Эвриклея
a0000196;2000196;196Philomela;196;Philomela;144.626;3.063814202;2006.492415;MBA;DES=+2000196;1998-08-17-09-02-44;2000-01-01-00-00-00;;Филомела
a0000197;2000197;197Arete;197;Arete;31.729;2.287551773;1654.560456;MBA;DES=+2000197;1998-11-13-08-38-15;2000-01-01-00-00-00;;Arete
a0000198;2000198;198Ampella;198;Ampella;54.323;1.901179167;1408.577796;MBA;DES=+2000198;1999-01-13-20-31-59;2000-01-01-00-00-00;;Ampella
a0000199;2000199;199Byblis;199;Byblis;76.129;2.59486577;2057.321837;MBA;DES=+2000199;1998-08-04-16-04-09;2000-01-01-00-00-00;;Byblis
a0000200;2000200;200Dynamene;200;Dynamene;128.301;2.378813654;1656.833497;MBA;DES=+2000200;1998-11-12-18-59-57;2000-01-01-00-00-00;;Динамена
a0000201;2000201;201Penelope;201;Penelope;85.877;2.198112046;1602.349364;MBA;DES=+2000201;1998-11-26-09-54-14;2000-01-01-00-00-00;;Пенелопа
a0000202;2000202;202Chryseis;202;Chryseis;86.15;2.749449411;1963.200218;MBA;DES=+2000202;1998-08-28-04-47-56;2000-01-01-00-00-00;;Chryseis
a0000203;2000203;203Pompeja;203;Pompeja;124.592;2.577016652;1653.874564;MBA;DES=+2000203;1998-11-13-12-45-10;2000-01-01-00-00-00;;Помпея
a0000204;2000204;204Kallisto;204;Kallisto;48.566;2.205037244;1594.055064;MBA;DES=+2000204;1998-11-28-11-40-11;2000-01-01-00-00-00;;Каллисто
a0000205;2000205;205Martha;205;Martha;76.983;2.677263694;1690.941625;MBA;DES=+2000205;1998-11-04-06-21-01;2000-01-01-00-00-00;;Марта
a0000206;2000206;206Hersilia;206;Hersilia;113;2.636476055;1657.680852;MBA;DES=+2000206;1998-11-12-13-54-54;2000-01-01-00-00-00;;Hersilia
