ID,Node1,Node2,X,Y,Z
1246,313,31950,,,
1247,313,53038,,,
1248,314,12952,,,
1249,314,25348,,,
1250,314,21054,,,
1251,314,25284,,,
1252,315,68218,,,
1253,315,68219,,,
1254,315,68208,,,
1255,315,68162,,,
1256,316,43585,,,
1257,316,43685,,,
1258,316,5756,,,
1259,316,44074,,,
1260,317,21737,,,
1261,317,21778,,,
1262,317,21779,,,
1263,317,21681,,,
1264,318,33471,,,
1265,318,33867,,,
1266,318,33514,,,
1267,318,33494,,,
1268,319,3302,,,
1269,319,20707,,,
1270,319,20644,,,
1271,319,3278,,,
1272,320,23250,,,
1273,320,8051,,,
1274,320,23273,,,
1275,320,23211,,,
1276,321,23097,,,
1277,321,23052,,,
1278,321,23147,,,
1279,321,22976,,,
1280,322,15739,,,
1281,322,15553,,,
1282,322,73945,,,
1283,322,73707,,,
1284,323,15632,,,
1285,323,15630,,,
1286,323,15578,,,
1287,323,42062,,,
1288,324,7479,,,
1289,324,61099,,,
1290,324,59972,,,
1291,324,1988,,,
1292,325,31180,,,
1293,325,4014,,,
1294,325,31237,,,
1295,325,31248,,,
1296,326,4482,,,
1297,326,44007,,,
1298,326,40409,,,
1299,326,39802,,,
1300,327,49012,,,
1301,327,51087,,,
1302,327,50850,,,
1303,327,69604,,,
1304,328,66876,,,
1305,328,67615,,,
1306,328,67704,,,
1307,328,67701,,,
1308,329,69465,,,
1309,329,1483,,,
1310,329,7528,,,
1311,329,59233,,,
1312,330,21669,,,
1313,330,8140,,,
1314,330,20544,,,
1315,330,21802,,,
1316,331,55135,,,
1317,331,55977,,,
1318,331,756,,,
1319,331,55931,,,
1320,332,5649,,,
1321,332,40769,,,
1322,332,5130,,,
1323,332,40771,,,
1324,333,2329,,,
1325,333,22348,,,
1326,333,2710,,,
1327,333,6630,,,
1328,334,59111,,,
1329,334,59343,,,
1330,334,7918,,,
1331,334,59042,,,
1332,335,70758,,,
1333,335,70210,,,
1334,335,72519,,,
1335,335,71020,,,
1336,336,62544,,,
1337,336,7437,,,
1338,336,60657,,,
1339,336,63006,,,
1340,337,14862,,,
1341,337,14809,,,
1342,337,14836,,,
1343,337,14731,,,
1344,338,24296,,,
1345,338,2835,,,
1346,338,24352,,,
1347,338,17040,,,
1348,339,22956,,,
1349,339,22433,,,
1350,339,22900,,,
1351,339,22602,,,
1352,340,75435,,,
